publication_number,patent_citation,publication_date,assignee,title
EP3365353A1,0,0,0,0
EP3376873B1,0,0,0,None
EP3376875B1,0,0,0,None
EP3386396B1,0,0,0,None
EP3394633A1,0,0,0,0
EP3485737A1,0,0,0,0
EP3555275A1,0,0,0,0
EP3599755A1,0,0,0,"""3rd Generation Partnership Project; Technical Specification Group Services and System Aspects; Architecture enhancements for non-3GPP accesses (Release 13)"", 3GPP TS 23.402, vol. SA WG2, no. V13.3.0, 17 September 2015 (2015-09-17), pages 1 - 298, XP050996016"
EP3599755A1,0,0,0,"""3rd Generation Partnership Project; Technical Specification Group Services and System Aspects; Study on architecture enhancements to support Proximity-based Services (ProSe) (Release 12)"", 3GPP TR 23.703, vol. SA WG2, no. V1.1.0, 28 January 2014 (2014-01-28), pages 1 - 324, XP050729424"
EP3072739B1,0,0,0,None
EP3072739B8,0,0,0,0
EP3130401A1,0,0,0,0
EP3136684A1,0,0,0,"""Software-Defined Networking: The New Norm for Networks"", OPEN NETWORKING FOUNDATION (ONF, 13 April 2012 (2012-04-13)"
EP3136684A1,0,0,0,"""TRANSMISSION CONTROL PROTOCOL DARPA INTERNET PROGRAM PROTOCOL SPECIFICATION"", RFC 793, September 1981 (1981-09-01)"
EP3136684B1,0,0,0,None
EP3179669A1,0,0,0,"""Chapter 12: Key Establishment Protocols ED - Menezes A J; Van Oorschot P C; Vanstone S A"", 1 October 1996 (1996-10-01), XP001525012, ISBN: 978-0-8493-8523-0, Retrieved from the Internet <URL:http://www.cacr.math.uwaterloo.ca/hac/>"
EP3179669A1,0,0,0,"ANONYMOUS: ""Marlin Architecture Overview"", 31 December 2007 (2007-12-31), pages 1 - 27, XP002625843, Retrieved from the Internet <URL:http://www.marlin-community.com/public/MarlinArchitectureOverview.pdf> [retrieved on 20110303]"
EP3179669A1,0,0,0,"INTERTRUST: ""Marlin Broadband Architecture Overview"", 5 November 2007 (2007-11-05), XP055022449, Retrieved from the Internet <URL:http://www.marlin-community.com/public/MarlinBroadbandArchitectureOverview.pdf> [retrieved on 20120320]"
EP3179669A1,0,0,0,"MARLIN STARFISH, MARLIN DEVELOPER COMMUNITY, 22 August 2006 (2006-08-22)"
EP3179669A1,0,0,0,"QIN-LONG HUANG ET AL: ""Secure and privacy-preserving DRM scheme using homomorphic encryption in cloud computing"", JOURNAL OF CHINA UNIVERSITIES OF POSTS AND TELECOMMUNICATIONS, vol. 20, no. 6, 1 December 2013 (2013-12-01), CN, pages 88 - 95, XP055271061, ISSN: 1005-8885, DOI: 10.1016/S1005-8885(13)60113-2"
EP3179669A1,0,0,0,"VANESA DAZA ET AL: ""A Distributed and Computationally Secure Key Distribution Scheme"", INTERNATIONAL ASSOCIATION FOR CRYPTOLOGIC RESEARCH,, vol. 20030411:085507, 1 June 2002 (2002-06-01), pages 1 - 16, XP061000299"
EP3242950B1,0,0,0,"DE BOER P ET AL: ""Highly efficient gene targeting in Penicillium chrysogenum using the bi-partite approach in DELTAlig4 or DELTAku70 mutants"", FUNGAL GENETICS AND BIOLOGY, SAN DIEGO, CA, US, vol. 47, no. 10, 1 October 2010 (2010-10-01), pages 839 - 846, XP027264914, ISSN: 1087-1845, [retrieved on 20100724]"
EP3242950B1,0,0,0,"JAVIER CASQUEIRO ET AL: ""Gene Targeting in Penicillium chrysogenum: Disruption of the lys2 Gene Leads to Penicillin Overproduction"", JOURNAL OF BACTERIOLOGY, 15 February 1999 (1999-02-15), United States, pages 1181 - 1188, XP055493015, Retrieved from the Internet <URL:http://jb.asm.org/content/181/4/1181.full.pdf>"
EP3242950B1,0,0,0,"KRAPPMANN S ET AL: ""GENE TARGETING IN ASPERGILLUS FUMOGATUS BY HOMOLOGOUS RECOMBINATION IS FACILITATED IN A NONHOMOLOGOUS END- JOINING-DEFICIENT GENETIC BACKGROUND"", EUKARYOTIC, AMERICAN SOCIETY FOR MICROBIOLOGY, US, vol. 5, no. 1, 1 January 2006 (2006-01-01), pages 212 - 215, XP009063272, ISSN: 1535-9778, DOI: 10.1128/EC.5.1.212-215.2006"
EP3242950B1,0,0,0,"OLDENBURG K R ET AL: ""Recombination-mediated PCR-directed plasmid construction in vivo in yeast"", 19970115, vol. 25, no. 2, 15 January 1997 (1997-01-15), pages 451 - 452, XP002990102, ISSN: 0305-1048, DOI: 10.1093/NAR/25.2.451"
EP3242950B1,0,0,0,"TAKAYUKI ARAZOE ET AL: ""Site-specific DNA double-strand break generated by I-SceI endonuclease enhances ectopic homologous recombination in Pyricularia oryzae"", FEMS MICROBIOLOGY LETTERS, vol. 352, no. 2, 26 February 2014 (2014-02-26), GB, pages 221 - 229, XP055256149, ISSN: 0378-1097, DOI: 10.1111/1574-6968.12396"
EP3244590A1,0,0,0,"SOURLAS VASILIS ET AL: ""Distributed Cache Management in Information-Centric Networks"", IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT, IEEE, US, vol. 10, no. 3, 1 September 2013 (2013-09-01), pages 286 - 299, XP011526912, ISSN: 1932-4537, [retrieved on 20130913], DOI: 10.1109/TNSM.2013.052113.120382"
EP3244590A1,0,0,0,"ZHANG ET AL.: ""Named data networking"", ACM SIGCOMM COMPUTER COMMUNICATION REVIEW, vol. 44, no. 3, July 2014 (2014-07-01), pages 66 - 73"
EP3244590A1,0,0,0,"ZHANG GUOQIANG ET AL: ""Caching in information centric networking: A survey"", COMPUTER NETWORKS, vol. 57, no. 16, 13 November 2013 (2013-11-13), pages 3128 - 3141, XP028744689, ISSN: 1389-1286, DOI: 10.1016/J.COMNET.2013.07.007"
EP3244590A1,0,0,0,"ZHONGXING MING; MINGWEI XU; DAN WANG.: ""23rd International Conference on Computer Communication and Networks"", 2014, IEEE, article ""Age-based cooperative caching in information-centric networking"""
EP3244590B1,0,0,0,None
EP3256513A1,0,0,0,0
EP3256513B1,0,0,0,0
EP3256766B1,0,0,0,None
EP3257741B1,0,0,0,0
EP3259435A2,0,0,0,0
EP3259836A1,0,0,0,0
EP3259836B1,0,0,0,None
EP3261716A1,0,0,0,0
EP3261716B1,0,0,0,0
EP3265552A2,0,0,0,0
EP3268058A1,0,0,0,0
EP3274301A1,0,0,0,"ARAN H C ET AL: ""Carbon nanofibers in catalytic membrane microreactors"", JOURNAL OF MEMBRANE SCIENCE, ELSEVIER BV, NL, vol. 381, no. 1, 24 July 2011 (2011-07-24), pages 244 - 250, XP028274028, ISSN: 0376-7388, [retrieved on 20110729], DOI: 10.1016/J.MEMSCI.2011.07.037"
EP3274301A1,0,0,0,See also references of WO2016156273A1
EP3274463A1,0,0,0,0
EP3279665B1,0,0,0,None
EP3283035A1,0,0,0,0
EP3283688A1,0,0,0,0
EP3296095A1,0,0,0,0
EP3297417A1,0,0,0,0
EP3297995A1,0,0,0,0
EP3298538A1,0,0,0,0
EP3302081A1,0,0,0,0
EP3302744A1,0,0,0,0
EP3307279A1,0,0,0,0
EP3307279B1,0,0,0,None
EP3319393B1,0,0,0,None
EP3326395A1,0,0,0,0
EP3334451A1,0,0,0,0
EP3334451B1,0,0,0,None
EP3334927A1,0,0,0,0
EP3341687A1,0,0,0,0
EP3344477A1,0,0,0,0
EP3344477B1,0,0,0,None
EP3368407A1,0,0,0,0
EP3371978B1,0,0,0,None
EP3376874A1,0,0,0,0
EP3376876B1,0,0,0,None
EP3383258A1,0,0,0,0
EP3384275A2,0,0,0,0
EP3384725A1,0,0,0,0
EP3384725B1,0,0,0,None
EP3398130A1,0,0,0,0
EP3398297A1,0,0,0,0
EP3085230A1,0,0,0,0
EP3199019A1,0,0,0,0
EP3242950A1,0,0,0,0
EP3251664A1,0,0,0,"ANISIMOV ET AL., CELL CYCLE, vol. 7, 2008, pages 2769"
